song	artist	rank	date
Love Story	Taylor Swift	14	2008-12-06
White Horse	Taylor Swift	56	2008-12-06
Love Story	Taylor Swift	12	2008-12-13
White Horse	Taylor Swift	47	2008-12-13
Love Story	Taylor Swift	12	2008-12-20
White Horse	Taylor Swift	52	2008-12-20
Love Story	Taylor Swift	11	2008-12-27
White Horse	Taylor Swift	51	2008-12-27
Love Story	Taylor Swift	7	2009-01-03
White Horse	Taylor Swift	48	2009-01-03
Love Story	Taylor Swift	5	2009-01-10
White Horse	Taylor Swift	41	2009-01-10
Love Story	Taylor Swift	4	2009-01-17
White Horse	Taylor Swift	38	2009-01-17
Love Story	Taylor Swift	5	2009-01-24
White Horse	Taylor Swift	37	2009-01-24
Love Story	Taylor Swift	5	2009-01-31
White Horse	Taylor Swift	35	2009-01-31
Love Story	Taylor Swift	5	2009-02-07
White Horse	Taylor Swift	39	2009-02-07
Love Story	Taylor Swift	5	2009-02-14
White Horse	Taylor Swift	40	2009-02-14
Love Story	Taylor Swift	7	2009-02-21
White Horse	Taylor Swift	39	2009-02-21
Love Story	Taylor Swift	7	2009-02-28
White Horse	Taylor Swift	34	2009-02-28
Fifteen	Taylor Swift	65	2009-02-28
Love Story	Taylor Swift	8	2009-03-07
White Horse	Taylor Swift	34	2009-03-07
Love Story	Taylor Swift	9	2009-03-14
White Horse	Taylor Swift	30	2009-03-14
Love Story	Taylor Swift	12	2009-03-21
White Horse	Taylor Swift	31	2009-03-21
You're Not Sorry	Taylor Swift	67	2009-03-21
Love Story	Taylor Swift	13	2009-03-28
White Horse	Taylor Swift	29	2009-03-28
You're Not Sorry	Taylor Swift	40	2009-03-28
Love Story	Taylor Swift	13	2009-04-04
White Horse	Taylor Swift	32	2009-04-04
You're Not Sorry	Taylor Swift	95	2009-04-04
Love Story	Taylor Swift	15	2009-04-11
White Horse	Taylor Swift	32	2009-04-11
Crazier	Taylor Swift	72	2009-04-11
Love Story	Taylor Swift	14	2009-04-18
White Horse	Taylor Swift	39	2009-04-18
Crazier	Taylor Swift	69	2009-04-18
Love Story	Taylor Swift	14	2009-04-25
Crazier	Taylor Swift	38	2009-04-25
White Horse	Taylor Swift	44	2009-04-25
Love Story	Taylor Swift	16	2009-05-02
Crazier	Taylor Swift	17	2009-05-02
Love Story	Taylor Swift	18	2009-05-09
Crazier	Taylor Swift	38	2009-05-09
Love Story	Taylor Swift	18	2009-05-16
Crazier	Taylor Swift	61	2009-05-16
You Belong With Me	Taylor Swift	87	2009-05-16
Fearless	Taylor Swift	95	2009-05-16
Love Story	Taylor Swift	21	2009-05-23
You Belong With Me	Taylor Swift	50	2009-05-23
Crazier	Taylor Swift	66	2009-05-23
Love Story	Taylor Swift	24	2009-05-30
You Belong With Me	Taylor Swift	46	2009-05-30
Crazier	Taylor Swift	90	2009-05-30
Love Story	Taylor Swift	34	2009-06-06
You Belong With Me	Taylor Swift	47	2009-06-06
Love Story	Taylor Swift	28	2009-06-13
You Belong With Me	Taylor Swift	41	2009-06-13
Love Story	Taylor Swift	26	2009-06-20
You Belong With Me	Taylor Swift	32	2009-06-20
You Belong With Me	Taylor Swift	18	2009-06-27
Love Story	Taylor Swift	26	2009-06-27
You Belong With Me	Taylor Swift	16	2009-07-04
Love Story	Taylor Swift	29	2009-07-04
You Belong With Me	Taylor Swift	11	2009-07-11
Love Story	Taylor Swift	33	2009-07-11
You Belong With Me	Taylor Swift	9	2009-07-18
Love Story	Taylor Swift	38	2009-07-18
You Belong With Me	Taylor Swift	6	2009-07-25
Love Story	Taylor Swift	41	2009-07-25
You Belong With Me	Taylor Swift	3	2009-08-01
Love Story	Taylor Swift	40	2009-08-01
You Belong With Me	Taylor Swift	4	2009-08-08
Love Story	Taylor Swift	42	2009-08-08
You Belong With Me	Taylor Swift	3	2009-08-15
Love Story	Taylor Swift	46	2009-08-15
You Belong With Me	Taylor Swift	2	2009-08-22
Love Story	Taylor Swift	46	2009-08-22
You Belong With Me	Taylor Swift	4	2009-08-29
Love Story	Taylor Swift	49	2009-08-29
You Belong With Me	Taylor Swift	4	2009-09-05
You Belong With Me	Taylor Swift	5	2009-09-12
You Belong With Me	Taylor Swift	6	2009-09-19
You Belong With Me	Taylor Swift	6	2009-09-26
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	92	2009-09-26
You Belong With Me	Taylor Swift	4	2009-10-03
Fifteen	Taylor Swift	94	2009-10-03
You Belong With Me	Taylor Swift	6	2009-10-10
Fifteen	Taylor Swift	89	2009-10-10
You Belong With Me	Taylor Swift	7	2009-10-17
Fifteen	Taylor Swift	81	2009-10-17
You Belong With Me	Taylor Swift	8	2009-10-24
Fifteen	Taylor Swift	77	2009-10-24
You Belong With Me	Taylor Swift	10	2009-10-31
Fifteen	Taylor Swift	67	2009-10-31
You Belong With Me	Taylor Swift	11	2009-11-07
Fifteen	Taylor Swift	62	2009-11-07
Jump Then Fall	Taylor Swift	10	2009-11-14
You Belong With Me	Taylor Swift	14	2009-11-14
Untouchable	Taylor Swift	19	2009-11-14
The Other Side Of The Door	Taylor Swift	23	2009-11-14
Superstar	Taylor Swift	26	2009-11-14
Come In With The Rain	Taylor Swift	30	2009-11-14
Forever & Always	Taylor Swift	34	2009-11-14
Fifteen	Taylor Swift	46	2009-11-14
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	79	2009-11-14
You Belong With Me	Taylor Swift	13	2009-11-21
Fifteen	Taylor Swift	38	2009-11-21
Jump Then Fall	Taylor Swift	41	2009-11-21
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	64	2009-11-21
Untouchable	Taylor Swift	69	2009-11-21
The Other Side Of The Door	Taylor Swift	94	2009-11-21
Forever & Always	Taylor Swift	100	2009-11-21
You Belong With Me	Taylor Swift	14	2009-11-28
Fifteen	Taylor Swift	26	2009-11-28
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	48	2009-11-28
Jump Then Fall	Taylor Swift	91	2009-11-28
You Belong With Me	Taylor Swift	15	2009-12-05
Fifteen	Taylor Swift	26	2009-12-05
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	40	2009-12-05
You Belong With Me	Taylor Swift	18	2009-12-12
Fifteen	Taylor Swift	27	2009-12-12
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	33	2009-12-12
You Belong With Me	Taylor Swift	18	2009-12-19
Fifteen	Taylor Swift	23	2009-12-19
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	32	2009-12-19
You Belong With Me	Taylor Swift	22	2009-12-26
Fifteen	Taylor Swift	27	2009-12-26
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	28	2009-12-26
You Belong With Me	Taylor Swift	22	2010-01-02
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	23	2010-01-02
Fifteen	Taylor Swift	30	2010-01-02
You Belong With Me	Taylor Swift	19	2010-01-09
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	20	2010-01-09
Fifteen	Taylor Swift	25	2010-01-09
You Belong With Me	Taylor Swift	17	2010-01-16
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	23	2010-01-16
Fifteen	Taylor Swift	28	2010-01-16
You Belong With Me	Taylor Swift	16	2010-01-23
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	24	2010-01-23
Fifteen	Taylor Swift	37	2010-01-23
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	18	2010-01-30
You Belong With Me	Taylor Swift	22	2010-01-30
Fifteen	Taylor Swift	36	2010-01-30
Today Was A Fairytale	Taylor Swift	2	2010-02-06
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	22	2010-02-06
You Belong With Me	Taylor Swift	27	2010-02-06
Fifteen	Taylor Swift	40	2010-02-06
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	20	2010-02-13
Today Was A Fairytale	Taylor Swift	22	2010-02-13
You Belong With Me	Taylor Swift	26	2010-02-13
Breathless	Taylor Swift	72	2010-02-13
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	21	2010-02-20
You Belong With Me	Taylor Swift	27	2010-02-20
Today Was A Fairytale	Taylor Swift	39	2010-02-20
Fearless	Taylor Swift	99	2010-02-20
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	23	2010-02-27
You Belong With Me	Taylor Swift	29	2010-02-27
Today Was A Fairytale	Taylor Swift	30	2010-02-27
Fearless	Taylor Swift	97	2010-02-27
Today Was A Fairytale	Taylor Swift	24	2010-03-06
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	29	2010-03-06
You Belong With Me	Taylor Swift	35	2010-03-06
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	29	2010-03-13
Today Was A Fairytale	Taylor Swift	31	2010-03-13
You Belong With Me	Taylor Swift	33	2010-03-13
Fearless	Taylor Swift	94	2010-03-13
Today Was A Fairytale	Taylor Swift	30	2010-03-20
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	35	2010-03-20
You Belong With Me	Taylor Swift	36	2010-03-20
Fearless	Taylor Swift	87	2010-03-20
Today Was A Fairytale	Taylor Swift	30	2010-03-27
You Belong With Me	Taylor Swift	39	2010-03-27
Two Is Better Than One	Boys Like Girls Featuring Taylor Swift	48	2010-03-27
Fearless	Taylor Swift	77	2010-03-27
Today Was A Fairytale	Taylor Swift	35	2010-04-03
You Belong With Me	Taylor Swift	45	2010-04-03
Fearless	Taylor Swift	77	2010-04-03
Today Was A Fairytale	Taylor Swift	36	2010-04-10
You Belong With Me	Taylor Swift	45	2010-04-10
Fearless	Taylor Swift	76	2010-04-10
Today Was A Fairytale	Taylor Swift	38	2010-04-17
You Belong With Me	Taylor Swift	50	2010-04-17
Fearless	Taylor Swift	76	2010-04-17
Today Was A Fairytale	Taylor Swift	41	2010-04-24
Fearless	Taylor Swift	78	2010-04-24
Today Was A Fairytale	Taylor Swift	56	2010-05-01
Fearless	Taylor Swift	84	2010-05-01
Today Was A Fairytale	Taylor Swift	65	2010-05-08
Today Was A Fairytale	Taylor Swift	81	2010-05-15
Today Was A Fairytale	Taylor Swift	85	2010-05-22
Today Was A Fairytale	Taylor Swift	96	2010-05-29
Today Was A Fairytale	Taylor Swift	97	2010-06-05
Mine	Taylor Swift	3	2010-08-21
Mine	Taylor Swift	8	2010-08-28
Mine	Taylor Swift	14	2010-09-04
Mine	Taylor Swift	9	2010-09-11
Mine	Taylor Swift	7	2010-09-18
Mine	Taylor Swift	10	2010-09-25
Mine	Taylor Swift	12	2010-10-02
Mine	Taylor Swift	11	2010-10-09
Mine	Taylor Swift	12	2010-10-16
Speak Now	Taylor Swift	8	2010-10-23
Mine	Taylor Swift	14	2010-10-23
Back To December	Taylor Swift	6	2010-10-30
Mine	Taylor Swift	14	2010-10-30
Speak Now	Taylor Swift	45	2010-10-30
Mean	Taylor Swift	11	2010-11-06
Mine	Taylor Swift	13	2010-11-06
Back To December	Taylor Swift	30	2010-11-06
Speak Now	Taylor Swift	86	2010-11-06
Sparks Fly	Taylor Swift	17	2010-11-13
Mine	Taylor Swift	21	2010-11-13
Innocent	Taylor Swift	27	2010-11-13
The Story Of Us	Taylor Swift	41	2010-11-13
Dear John	Taylor Swift	54	2010-11-13
Better Than Revenge	Taylor Swift	56	2010-11-13
Haunted	Taylor Swift	63	2010-11-13
Last Kiss	Taylor Swift	71	2010-11-13
Enchanted	Taylor Swift	75	2010-11-13
Never Grow Up	Taylor Swift	84	2010-11-13
Long Live	Taylor Swift	85	2010-11-13
Mine	Taylor Swift	16	2010-11-20
Sparks Fly	Taylor Swift	78	2010-11-20
Mine	Taylor Swift	23	2010-11-27
Back To December	Taylor Swift	74	2010-11-27
Mine	Taylor Swift	33	2010-12-04
Back To December	Taylor Swift	67	2010-12-04
Mine	Taylor Swift	37	2010-12-11
Back To December	Taylor Swift	47	2010-12-11
Back To December	Taylor Swift	43	2010-12-18
Mine	Taylor Swift	47	2010-12-18
Back To December	Taylor Swift	34	2010-12-25
Mine	Taylor Swift	50	2010-12-25
Back To December	Taylor Swift	26	2011-01-01
Mine	Taylor Swift	52	2011-01-01
Back To December	Taylor Swift	27	2011-01-08
Mine	Taylor Swift	42	2011-01-08
Back To December	Taylor Swift	25	2011-01-15
Mine	Taylor Swift	31	2011-01-15
Back To December	Taylor Swift	25	2011-01-22
Mine	Taylor Swift	50	2011-01-22
Back To December	Taylor Swift	26	2011-01-29
Back To December	Taylor Swift	22	2011-02-05
Back To December	Taylor Swift	18	2011-02-12
Back To December	Taylor Swift	20	2011-02-19
Back To December	Taylor Swift	24	2011-02-26
Back To December	Taylor Swift	24	2011-03-05
Back To December	Taylor Swift	29	2011-03-12
Back To December	Taylor Swift	32	2011-03-19
Back To December	Taylor Swift	37	2011-03-26
Mean	Taylor Swift	90	2011-04-09
Mean	Taylor Swift	67	2011-04-16
Mean	Taylor Swift	48	2011-04-23
Mean	Taylor Swift	51	2011-04-30
Mean	Taylor Swift	50	2011-05-07
Mean	Taylor Swift	54	2011-05-14
Mean	Taylor Swift	46	2011-05-21
Mean	Taylor Swift	37	2011-05-28
The Story Of Us	Taylor Swift	98	2011-05-28
Mean	Taylor Swift	34	2011-06-04
The Story Of Us	Taylor Swift	88	2011-06-04
Mean	Taylor Swift	39	2011-06-11
The Story Of Us	Taylor Swift	77	2011-06-11
Mean	Taylor Swift	33	2011-06-18
The Story Of Us	Taylor Swift	72	2011-06-18
Mean	Taylor Swift	37	2011-06-25
The Story Of Us	Taylor Swift	66	2011-06-25
Mean	Taylor Swift	31	2011-07-02
The Story Of Us	Taylor Swift	67	2011-07-02
Mean	Taylor Swift	34	2011-07-09
The Story Of Us	Taylor Swift	67	2011-07-09
Mean	Taylor Swift	39	2011-07-16
The Story Of Us	Taylor Swift	72	2011-07-16
Mean	Taylor Swift	44	2011-07-23
The Story Of Us	Taylor Swift	69	2011-07-23
Mean	Taylor Swift	55	2011-07-30
The Story Of Us	Taylor Swift	83	2011-07-30
Mean	Taylor Swift	61	2011-08-06
The Story Of Us	Taylor Swift	97	2011-08-06
Mean	Taylor Swift	63	2011-08-13
Sparks Fly	Taylor Swift	84	2011-08-27
Sparks Fly	Taylor Swift	70	2011-09-03
Sparks Fly	Taylor Swift	67	2011-09-10
Sparks Fly	Taylor Swift	68	2011-09-17
Sparks Fly	Taylor Swift	64	2011-09-24
Sparks Fly	Taylor Swift	57	2011-10-01
Sparks Fly	Taylor Swift	59	2011-10-08
Sparks Fly	Taylor Swift	60	2011-10-15
Sparks Fly	Taylor Swift	54	2011-10-22
Sparks Fly	Taylor Swift	50	2011-10-29
Sparks Fly	Taylor Swift	49	2011-11-05
Sparks Fly	Taylor Swift	46	2011-11-12
Sparks Fly	Taylor Swift	42	2011-11-19
If This Was A Movie	Taylor Swift	10	2011-11-26
Ours	Taylor Swift	13	2011-11-26
Superman	Taylor Swift	26	2011-11-26
Sparks Fly	Taylor Swift	49	2011-11-26
Haunted	Taylor Swift	98	2011-11-26
If This Was A Movie	Taylor Swift	53	2011-12-03
Sparks Fly	Taylor Swift	54	2011-12-03
Ours	Taylor Swift	56	2011-12-03
Sparks Fly	Taylor Swift	55	2011-12-10
Ours	Taylor Swift	81	2011-12-10
Sparks Fly	Taylor Swift	65	2011-12-17
Ours	Taylor Swift	83	2011-12-17
Ours	Taylor Swift	65	2011-12-24
Sparks Fly	Taylor Swift	85	2011-12-24
Ours	Taylor Swift	47	2011-12-31
Safe & Sound	Taylor Swift Featuring The Civil Wars	30	2012-01-07
Ours	Taylor Swift	45	2012-01-07
Safe & Sound	Taylor Swift Featuring The Civil Wars	31	2012-01-14
Ours	Taylor Swift	43	2012-01-14
Safe & Sound	Taylor Swift Featuring The Civil Wars	40	2012-01-21
Ours	Taylor Swift	43	2012-01-21
Ours	Taylor Swift	47	2012-01-28
Safe & Sound	Taylor Swift Featuring The Civil Wars	63	2012-01-28
Ours	Taylor Swift	44	2012-02-04
Safe & Sound	Taylor Swift Featuring The Civil Wars	91	2012-02-04
Ours	Taylor Swift	46	2012-02-11
Ours	Taylor Swift	42	2012-02-18
Ours	Taylor Swift	47	2012-02-25
Ours	Taylor Swift	46	2012-03-03
Safe & Sound	Taylor Swift Featuring The Civil Wars	56	2012-03-03
Ours	Taylor Swift	45	2012-03-10
Safe & Sound	Taylor Swift Featuring The Civil Wars	70	2012-03-10
Ours	Taylor Swift	48	2012-03-17
Safe & Sound	Taylor Swift Featuring The Civil Wars	69	2012-03-17
Ours	Taylor Swift	39	2012-03-24
Safe & Sound	Taylor Swift Featuring The Civil Wars	60	2012-03-24
Ours	Taylor Swift	41	2012-03-31
Safe & Sound	Taylor Swift Featuring The Civil Wars	71	2012-03-31
Eyes Open	Taylor Swift	19	2012-04-07
Safe & Sound	Taylor Swift Featuring The Civil Wars	35	2012-04-07
Ours	Taylor Swift	42	2012-04-07
Eyes Open	Taylor Swift	26	2012-04-14
Safe & Sound	Taylor Swift Featuring The Civil Wars	47	2012-04-14
Eyes Open	Taylor Swift	29	2012-04-21
Safe & Sound	Taylor Swift Featuring The Civil Wars	56	2012-04-21
Eyes Open	Taylor Swift	23	2012-04-28
Safe & Sound	Taylor Swift Featuring The Civil Wars	60	2012-04-28
Eyes Open	Taylor Swift	21	2012-05-05
Safe & Sound	Taylor Swift Featuring The Civil Wars	68	2012-05-05
Eyes Open	Taylor Swift	20	2012-05-12
Safe & Sound	Taylor Swift Featuring The Civil Wars	77	2012-05-12
Both Of Us	B.o.B Featuring Taylor Swift	18	2012-05-19
Eyes Open	Taylor Swift	23	2012-05-19
Safe & Sound	Taylor Swift Featuring The Civil Wars	86	2012-05-19
Eyes Open	Taylor Swift	36	2012-05-26
Both Of Us	B.o.B Featuring Taylor Swift	75	2012-05-26
Eyes Open	Taylor Swift	45	2012-06-02
Both Of Us	B.o.B Featuring Taylor Swift	91	2012-06-02
Eyes Open	Taylor Swift	60	2012-06-09
Both Of Us	B.o.B Featuring Taylor Swift	81	2012-06-09
Eyes Open	Taylor Swift	75	2012-06-16
Both Of Us	B.o.B Featuring Taylor Swift	77	2012-06-16
Both Of Us	B.o.B Featuring Taylor Swift	68	2012-06-23
Eyes Open	Taylor Swift	87	2012-06-23
Both Of Us	B.o.B Featuring Taylor Swift	56	2012-06-30
Eyes Open	Taylor Swift	93	2012-06-30
Both Of Us	B.o.B Featuring Taylor Swift	54	2012-07-07
Both Of Us	B.o.B Featuring Taylor Swift	46	2012-07-14
Both Of Us	B.o.B Featuring Taylor Swift	47	2012-07-21
Both Of Us	B.o.B Featuring Taylor Swift	50	2012-07-28
Both Of Us	B.o.B Featuring Taylor Swift	56	2012-08-04
Both Of Us	B.o.B Featuring Taylor Swift	61	2012-08-11
Both Of Us	B.o.B Featuring Taylor Swift	72	2012-08-18
Both Of Us	B.o.B Featuring Taylor Swift	71	2012-08-25
We Are Never Ever Getting Back Together	Taylor Swift	72	2012-08-25
We Are Never Ever Getting Back Together	Taylor Swift	1	2012-09-01
Both Of Us	B.o.B Featuring Taylor Swift	74	2012-09-01
We Are Never Ever Getting Back Together	Taylor Swift	1	2012-09-08
Both Of Us	B.o.B Featuring Taylor Swift	80	2012-09-08
We Are Never Ever Getting Back Together	Taylor Swift	2	2012-09-15
Both Of Us	B.o.B Featuring Taylor Swift	81	2012-09-15
